Time,Replicate,OD
13:23,1,0.038
13:23,2,0.031
13:23,3,0.042
13:23,4,0.040
13:43,1,0.044
13:43,2,0.034
13:43,3,0.050
13:43,4,0.042
14:03,1,0.065
14:03,2,0.048
14:03,3,0.075
14:03,4,0.060
14:23,1,0.105
14:23,2,0.074
14:23,3,0.118
14:23,4,0.100
14:43,1,0.173
14:43,2,0.117
14:43,3,0.193
14:43,4,0.158
15:02,1,0.269
15:02,2,0.174
15:02,3,0.312
15:02,4,0.237
15:23,1,0.442
15:23,2,0.299
15:23,3,0.477
15:23,4,0.394
15:43,1,0.656
15:43,2,0.489
15:43,3,0.683
15:43,4,0.589
16:03,1,0.900
16:03,2,0.685
16:03,3,0.947
16:03,4,0.839
16:23,1,1.143
16:23,2,0.919
16:23,3,1.163
16:23,4,1.088
